Time	Inds	seedlings	seeds	repromass	cover	shootmass	PFT
1	0	12	18	0	0	12	LECAcl4plb
1	0	13	17	0	0	13	LECIcl3plb
1	0	13	17	0	0	13	LECIcl4plb
1	0	11	19	0	0	11	LSCAplb
1	0	8	22	0	0	8	LSCIcl1plb
1	0	13	17	0	0	13	LSCIcl2plb
1	0	19	10	0	0	19	LSCIcl3plb
1	0	16	14	0	0	16	LSCIplb
1	0	15	15	0	0	15	LSCTcl3plb
1	0	12	18	0	0	12	LSCTplb
1	0	19	11	0	0	5.7	MECAcl4plb
1	0	12	18	0	0	3.6	MECIcl3plb
1	0	14	14	0	0	4.2	MECIcl4plb
1	0	13	17	0	0	3.9	MECTcl3peb
1	0	16	14	0	0	4.8	MECTplb
1	0	13	17	0	0	3.9	MEITplb
1	0	13	17	0	0	3.9	MESTcl3plb
1	0	13	17	0	0	3.9	MRITcl3peb
1	0	17	12	0	0	5.1	MSCAcl1plb
1	0	16	13	0	0	4.8	MSCAcl2plb
1	0	19	11	0	0	5.7	MSCAcl3plb
1	0	11	19	0	0	3.3	MSCAplb
1	0	12	18	0	0	3.6	MSCIcl3plb
1	0	17	13	0	0	5.1	MSCIplb
1	0	18	12	0	0	5.4	MSCTcl1plb
1	0	16	14	0	0	4.8	MSCTcl2plb
1	0	23	7	0	0	6.9	MSIAcl3plb
1	0	18	12	0	0	5.4	MSIAcl4plb
1	0	19	11	0	0	5.7	MSIIcl1plb
1	0	13	17	0	0	3.9	MSIIplb
1	0	20	10	0	0	6	MSITcl3plb
1	0	15	15	0	0	4.5	MSITcl4plb
1	0	15	15	0	0	4.5	MSSAcl4plb
1	0	11	19	0	0	1.1	SECAcl3plb
1	0	13	17	0	0	1.3	SECTcl3peb
1	0	17	13	0	0	1.7	SECTpeb
1	0	16	13	0	0	1.6	SEIAcl4peb
1	0	9	21	0	0	0.9	SEIAplb
1	0	16	12	0	0	1.6	SEIIcl1peb
1	0	10	20	0	0	1	SEITcl1plb
1	0	20	10	0	0	2	SEITcl3peb
1	0	12	18	0	0	1.2	SEITcl4peb
1	0	12	18	0	0	1.2	SESTcl4plb
1	0	13	16	0	0	1.3	SRIAcl1peb
1	0	15	15	0	0	1.5	SRIAcl1plb
1	0	17	13	0	0	1.7	SRIAcl3plb
1	0	17	13	0	0	1.7	SRIAcl4peb
1	0	23	7	0	0	2.3	SRITcl3peb
1	0	13	17	0	0	1.3	SRITcl3plb
1	0	16	13	0	0	1.6	SSCTplb
1	0	13	17	0	0	1.3	SSIAcl4plb
1	0	15	15	0	0	1.5	SSIIplb
2	0	20	10	0	0.000400949	141.499	LECAcl4plb
2	0	24	6	0	0.000434361	155.624	LECIcl3plb
2	0	23	7	0	0.000434361	154.624	LECIcl4plb
2	0	19	11	0	0.000367537	136.236	LSCAplb
2	0	21	9	0	0.000267299	101.999	LSCIcl1plb
2	0	22	6	0	0.000434361	143.499	LSCIcl2plb
2	0	23	6	0	0.000634836	215.373	LSCIcl3plb
2	0	22	8	0	0.000534599	192.525	LSCIplb
2	0	24	6	0	0.000501186	175.873	LSCTcl3plb
2	0	21	9	0	0.000400949	148.893	LSCTplb
2	0	26	4	0	0.000634836	200.175	MECAcl4plb
2	0	21	9	0	0.000400949	127.8	MECIcl3plb
2	0	18	10	0	0.000467774	147.15	MECIcl4plb
2	0	18	11	0	0.000434361	126.9	MECTcl3peb
